"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"NIKA ESTATE HOMES PROPERTIES","dubai","UAE","Dubai","Business Bay; Dubai Harbour; Jumeirah Village Circle","","","","info.dubai@nikaestate.com","+971508698020","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/nika-estate-homes-properties-5826","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 83. Languages: English; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Souq Real Estate LLC - RAK","dubai","UAE","Dubai","Al Hamra Village; Al Marjan Island; Mina Al Arab","","","","salamehdavid85@GMAIL.COM","+971567117094","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/souq-real-estate-llc-rak-8101","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 47. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"IMPERA PROPERTIES","dubai","UAE","Dubai","Dubai Media City; Sheikh Zayed Road; World Trade Center","","","","adriana@impera.ae","+971552302309","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/impera-properties-5829","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: English; Romanian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Prime Location Properties","dubai","UAE","Dubai","Dubai Harbour; Dubai Marina; Palm Jumeirah","","","","hello@primelp.com","+971565203469","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/prime-location-properties-7607","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Huspy Dubai","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Maritime City; Palm Jumeirah","","","","charlie.wardale@huspy.io","+971585916111","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/huspy-dubai-7163","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 37. Languages: Arabic; English; Turkish. Recommended channel: email + manual WhatsApp.","researched","","en"
"KULM EXCLUSIVE PROPERTIES - AUH","dubai","UAE","Dubai","Al Reem Island; Saadiyat Island; Yas Island","","","","ngrachev@kulm-group.com","+971567448449","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/kulm-exclusive-properties-auh-11571","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 43. Languages: English; Italian; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Falcon Properties Real Estate FZ-LLC - RAK","dubai","UAE","Dubai","Al Hamra Village; Al Marjan Island; Sharjah Industrial Area","","","","Ahmed@falconproperties-re.com","+971508282606","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/falcon-properties-real-estate-fz-llc-rak-4747","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 44. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"ECOLIVING REAL ESTATE L.L.C","dubai","UAE","Dubai","Business Bay; Dubai Hills Estate; Mohammed Bin Rashid City","","","","farah.badayneh@gmail.com","+971506510067","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/ecoliving-real-estate-l-l-c-8232","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"G P G Global Real Estate Brokerage","dubai","UAE","Dubai","Business Bay; Jumeirah Village Circle; Motor City","","","","enquiries@globalporpertygroup.co","+971542068414","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/g-p-g-global-real-estate-brokerage-4588","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 40. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"R E M REAL ESTATE MANAGEMENT LLC","dubai","UAE","Dubai","Al Marjan Island; Mina Al Arab","","","","ella@rem-property.com","+971503712171","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/r-e-m-real-estate-management-llc-1435","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 43. Languages: Arabic; English; Italian; Romanian; Spanish. Recommended channel: email + manual WhatsApp.","researched","","en"
"Own First Real Estate L.L.C","dubai","UAE","Dubai","Al Aweer; Al Barsha; Al Mizhar","","","","OwnFirstRE@gmail.com","+971528299511","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/own-first-real-estate-l-l-c-7094","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 44. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Crompton Partners Estate Agents AUH","dubai","UAE","Dubai","Al Reem Island; Saadiyat Island; Yas Island","","","","olley.sez@cromptonpartners.com","+971585801289","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/crompton-partners-estate-agents-auh-1007","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 39. Languages: English; Italian; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"AL RWAFID REAL ESTATE L.L.C","dubai","UAE","Dubai","Ajman Downtown; Al Jurf Industrial; Al Nuaimiya","","","","alrwafidmahmoud@gmail.com","+971565514543","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-rwafid-real-estate-l-l-c-9912","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Baron Luxe Real Estate LLC","dubai","UAE","Dubai","Dubai Harbour","","","","vicky@blre.ae","+971585267058","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/baron-luxe-real-estate-llc-5694","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: Dutch; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"fam Real Estate Broker - Mudon","dubai","UAE","Dubai","Al Barsha; Barsha Heights (Tecom); Dubai Science Park","","","","osama.abed@famproperties.com","+971586680446","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/fam-properties-branch-4-4195","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 75. Languages: Arabic; English. Recommended channel: email + manual WhatsApp. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"DREAMLAND REAL ESTATE BROKERAGE","dubai","UAE","Dubai","Al Barsha; Jebel Ali; Ras Al Khor","","","","ali@dreamlanddubai.ae","+971502600004","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/dreamland-real-estate-brokerage-7624","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 43. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"City Square Properties","dubai","UAE","Dubai","Dubai Hills Estate; Jumeirah Village Circle; Palm Jumeirah","","","","rita@citysquareproperties.ae","+971507847027","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/city-square-properties-6237","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 43. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"IZKA REAL ESTATE L.L.C","dubai","UAE","Dubai","Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Jumeirah Village Circle","","","","malic.waqas123@gmail.com","+971524798755","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/izka-real-estate-l-l-c-10333","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 40. Languages: English; Punjabi. Recommended channel: email + manual WhatsApp.","researched","","en"
"Throne Properties","dubai","UAE","Dubai","Damac Hills 2; Dubai Investment Park (DIP); Dubai Land","","","","sarmad@throneproperties.ae","+971586411830","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/throne-properties-7262","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: English; Hindi; Punjabi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"LIVRICHY REAL ESTATE BROKERAGE LLC","dubai","UAE","Dubai","City Walk; Dubai Harbour; Zabeel","","","","henry.m@livrichy.com","+971505606599","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/livrichy-real-estate-brokerage-llc-8410","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 40. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"NORDIC CREST REAL ESTATE","dubai","UAE","Dubai","Arjan; Business Bay; Dubai Festival City","","","","info@nordiccrestrealty.ae","+971563325076","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/nordic-crest-real-estate-10180","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 41. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Top Class Real Estate Broker L.L.C","dubai","UAE","Dubai","Damac Lagoons; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Land; Jumeirah Village Triangle","","","","alex@tcre.ae","+971558830813","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/top-class-real-estate-broker-l-l-c-346","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 31. Languages: English; Hindi; Punjabi; Romanian; Spanish. Recommended channel: email + manual WhatsApp.","researched","","en"
"Luxury Experts Real Estate","dubai","UAE","Dubai","Dubai Marina; Palm Jumeirah","","","","rustam@luxuryxperts.com","+971585846458","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/luxury-experts-real-estate-7456","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 39. Languages: English; Persian/Farsi; Russian; Uzbek. Recommended channel: email + manual WhatsApp.","researched","","en"
"LUXURY RESIDENCES REAL ESTATE LLC","dubai","UAE","Dubai","DIFC; Downtown Dubai; Palm Jumeirah","","","","info.1@luxuryresidences.com","+971502540288","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/luxury-residences-real-estate-llc-5492","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 33. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
